site_id,startDateTime,SOILT,VSWC
DSNY,2024-02-29T00:00:00Z,19.9804,0.21076666666666663
GRSM,2024-02-01T00:00:00Z,6.8305,0.22063333333333332
GRSM,2024-02-02T00:00:00Z,6.96375,0.21403333333333333
GRSM,2024-02-03T00:00:00Z,8.69,0.20865
GRSM,2024-02-04T00:00:00Z,8.1885,0.20953333333333335
GRSM,2024-02-05T00:00:00Z,7.85725,0.15776666666666667
GRSM,2024-02-06T00:00:00Z,7.9195,0.15626666666666666
GRSM,2024-02-07T00:00:00Z,7.657,0.2055
GRSM,2024-02-08T00:00:00Z,8.1205,0.20205
GRSM,2024-02-09T00:00:00Z,8.528500000000001,0.16705
GRSM,2024-02-10T00:00:00Z,8.132,0.2255
GRSM,2024-02-11T00:00:00Z,11.07175,0.2452
GRSM,2024-02-12T00:00:00Z,10.70925,0.22963333333333333
GRSM,2024-02-13T00:00:00Z,11.1325,0.23573333333333332
GRSM,2024-02-14T00:00:00Z,8.24175,0.22683333333333333
GRSM,2024-02-15T00:00:00Z,8.722,0.2446
GRSM,2024-02-16T00:00:00Z,10.18875,0.2149
GRSM,2024-02-17T00:00:00Z,10.26425,0.2117
GRSM,2024-02-18T00:00:00Z,5.64875,0.2092
GRSM,2024-02-19T00:00:00Z,5.96425,0.21623333333333333
GRSM,2024-02-20T00:00:00Z,6.6355,0.21293333333333336
GRSM,2024-02-21T00:00:00Z,7.7254,0.1743
GRSM,2024-02-22T00:00:00Z,9.0658,0.19445
GRSM,2024-02-23T00:00:00Z,11.5438,0.19235
GRSM,2024-02-24T00:00:00Z,10.2396,0.2133
GRSM,2024-02-25T00:00:00Z,7.4942,0.15860000000000002
GRSM,2024-02-26T00:00:00Z,9.3326,0.14335
GRSM,2024-02-27T00:00:00Z,12.4304,0.1973
GRSM,2024-02-28T00:00:00Z,13.9558,0.19495
GRSM,2024-02-29T00:00:00Z,10.1874,0.2488
GUAN,2024-02-01T00:00:00Z,25.0726,0.005
GUAN,2024-02-02T00:00:00Z,25.3348,0.0203
GUAN,2024-02-03T00:00:00Z,26.0442,0.0266
GUAN,2024-02-04T00:00:00Z,24.3348,0.01863333333333333
GUAN,2024-02-05T00:00:00Z,25.7914,0.01983333333333333
GUAN,2024-02-06T00:00:00Z,26.9258,0.0099
GUAN,2024-02-07T00:00:00Z,24.7214,0.03352
GUAN,2024-02-08T00:00:00Z,23.976,0.06832
GUAN,2024-02-09T00:00:00Z,22.9604,0.1307
GUAN,2024-02-10T00:00:00Z,23.5084,0.10172
GUAN,2024-02-11T00:00:00Z,24.0254,0.07908
GUAN,2024-02-12T00:00:00Z,24.657,0.06405999999999999
GUAN,2024-02-13T00:00:00Z,25.3018,0.0771
GUAN,2024-02-14T00:00:00Z,25.4026,0.05189999999999999
GUAN,2024-02-15T00:00:00Z,25.881,0.0464
