site_id,datetime,PRES,TSOIL,SOILW,WEASD,SNOD,ICETK
ONAQ,2023-11-25T00:00:00Z,81993.5751953125,274.616641998291,0.20300000719726086,3.875,0.033749999245628715,0
ORNL,2023-11-25T00:00:00Z,97500.5751953125,281.2066421508789,0.24925000220537186,0,0,0
OSBS,2023-11-25T00:00:00Z,101661.7744140625,289.23163986206055,0.12525000236928463,0,0,0
PUUM,2023-11-25T00:00:00Z,80837.3759765625,292.8003921508789,0.09737500548362732,0,0,0
RMNP,2023-11-25T00:00:00Z,73656.775390625,269.9953918457031,0.16950000822544098,7.375,0.07874999847263098,0
SCBI,2023-11-25T00:00:00Z,100172.775390625,278.25664138793945,0.265500009059906,0,0,0
SERC,2023-11-25T00:00:00Z,102614.5751953125,NA,NA,NA,NA,0
SJER,2023-11-25T00:00:00Z,94429.9765625,282.41913986206055,0.12025000527501106,0,0,0
SOAP,2023-11-25T00:00:00Z,94429.9765625,282.41913986206055,0.12025000527501106,0,0,0
SRER,2023-11-25T00:00:00Z,89892.974609375,287.95914459228516,0.11375000514090061,0,0,0
STEI,2023-11-25T00:00:00Z,96840.5751953125,270.3291435241699,0.36387501284480095,0,0,0
STER,2023-11-25T00:00:00Z,87387.974609375,271.48788833618164,0.08812500350177288,4.125,0.04874999774619937,0
TALL,2023-11-25T00:00:00Z,101028.3740234375,284.56289291381836,0.22300000861287117,0,0,0
TEAK,2023-11-25T00:00:00Z,79922.173828125,276.00163650512695,0.20700001157820225,1.875,0.009999999776482582,0
TOOL,2023-11-25T00:00:00Z,89442.974609375,265.0466423034668,0.30400002002716064,31,0.3024999871850014,0
TREE,2023-11-25T00:00:00Z,96840.5751953125,270.3291435241699,0.36387501284480095,0,0,0
UKFS,2023-11-25T00:00:00Z,99123.3740234375,275.51663970947266,0.19825001433491707,0,0,0
UNDE,2023-11-25T00:00:00Z,96368.576171875,270.19789123535156,0.2160000093281269,0,0,0
WOOD,2023-11-25T00:00:00Z,96253.775390625,268.0603904724121,0.15737500600516796,0,0,0
WREF,2023-11-25T00:00:00Z,93147.775390625,276.5891418457031,0.2821250148117542,0,0,0
YELL,2023-11-25T00:00:00Z,75796.17578125,267.681640625,0.39762502536177635,7,0.07000000029802322,0
ABBY,2023-11-26T00:00:00Z,97483.53515625,275.6526908874512,0.24550001323223114,0,0,0
BARR,2023-11-26T00:00:00Z,101392.93359375,NA,NA,4.5,0.019999999552965164,0.3374999985098839
BART,2023-11-26T00:00:00Z,95940.333984375,273.0951957702637,0.32337502017617226,4.75,0.04374999785795808,0
BLAN,2023-11-26T00:00:00Z,99555.333984375,276.5502014160156,0.25975001230835915,0,0,0
BONA,2023-11-26T00:00:00Z,97026.9345703125,267.5401954650879,0.39762502536177635,33.875,0.32874998450279236,0
